collected_at,location_name,congestion_status_raw,congestion_level_3class,label_num,hour,day_of_week,month,is_weekend,is_peak_hour,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3,target_1h,target_1h_num
2026-03-21 02:42:03,Children's Grand Park,여유,Low,0,2,Saturday,3,1,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-21 02:48:56,Children's Grand Park,여유,Low,0,2,Saturday,3,1,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-21 21:49:02,Children's Grand Park,여유,Low,0,21,Saturday,3,1,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-21 22:49:04,Children's Grand Park,여유,Low,0,22,Saturday,3,1,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-21 23:48:57,Children's Grand Park,여유,Low,0,23,Saturday,3,1,0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
2026-03-23 03:28:51,Children's Grand Park,보통,Medium,1,3,Monday,3,0,0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
2026-03-23 04:20:06,Children's Grand Park,보통,Medium,1,4,Monday,3,0,0,1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,Low,0.0
2026-03-23 11:17:14,Children's Grand Park,여유,Low,0,11,Monday,3,0,0,1.0,1.0,0.0,0.6666666666666666,0.5773502691896258,Medium,1.0
2026-03-23 13:38:25,Children's Grand Park,보통,Medium,1,13,Monday,3,0,0,0.0,1.0,1.0,0.6666666666666666,0.5773502691896258,Medium,1.0
2026-03-23 19:38:56,Children's Grand Park,보통,Medium,1,19,Monday,3,0,1,1.0,0.0,1.0,0.6666666666666666,0.5773502691896258,Medium,1.0
2026-03-23 23:46:41,Children's Grand Park,보통,Medium,1,23,Monday,3,0,0,1.0,1.0,0.0,0.6666666666666666,0.5773502691896258,Medium,1.0
2026-03-24 03:08:05,Children's Grand Park,보통,Medium,1,3,Tuesday,3,0,0,1.0,1.0,1.0,1.0,0.0,Medium,1.0
2026-03-24 05:08:48,Children's Grand Park,보통,Medium,1,5,Tuesday,3,0,0,1.0,1.0,1.0,1.0,0.0,Medium,1.0
2026-03-24 06:59:46,Children's Grand Park,보통,Medium,1,6,Tuesday,3,0,0,1.0,1.0,1.0,1.0,0.0,Medium,1.0
2026-03-24 08:57:15,Children's Grand Park,보통,Medium,1,8,Tuesday,3,0,1,1.0,1.0,1.0,1.0,0.0,Medium,1.0
2026-03-24 14:39:45,Children's Grand Park,보통,Medium,1,14,Tuesday,3,0,1,1.0,1.0,1.0,1.0,0.0,Low,0.0
2026-03-24 18:41:54,Children's Grand Park,여유,Low,0,18,Tuesday,3,0,1,1.0,1.0,1.0,1.0,0.0,Low,0.0
2026-03-24 21:08:56,Children's Grand Park,여유,Low,0,21,Tuesday,3,0,0,0.0,1.0,1.0,0.6666666666666666,0.5773502691896258,Low,0.0
2026-03-25 02:25:16,Children's Grand Park,여유,Low,0,2,Wednesday,3,0,0,0.0,0.0,1.0,0.3333333333333333,0.5773502691896258,Low,0.0
2026-03-25 04:43:31,Children's Grand Park,여유,Low,0,4,Wednesday,3,0,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-25 06:55:33,Children's Grand Park,여유,Low,0,6,Wednesday,3,0,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-25 08:05:29,Children's Grand Park,여유,Low,0,8,Wednesday,3,0,1,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-25 09:01:31,Children's Grand Park,여유,Low,0,9,Wednesday,3,0,0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
2026-03-25 14:23:14,Children's Grand Park,보통,Medium,1,14,Wednesday,3,0,1,0.0,0.0,0.0,0.0,0.0,Medium,1.0
2026-03-25 17:03:40,Children's Grand Park,보통,Medium,1,17,Wednesday,3,0,1,1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,Low,0.0
2026-03-25 19:35:57,Children's Grand Park,여유,Low,0,19,Wednesday,3,0,1,1.0,1.0,0.0,0.6666666666666666,0.5773502691896258,Low,0.0
2026-03-25 21:08:01,Children's Grand Park,여유,Low,0,21,Wednesday,3,0,0,0.0,1.0,1.0,0.6666666666666666,0.5773502691896258,Low,0.0
2026-03-25 23:23:08,Children's Grand Park,여유,Low,0,23,Wednesday,3,0,0,0.0,0.0,1.0,0.3333333333333333,0.5773502691896258,Low,0.0
2026-03-26 01:22:06,Children's Grand Park,여유,Low,0,1,Thursday,3,0,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-26 04:31:27,Children's Grand Park,여유,Low,0,4,Thursday,3,0,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-26 06:07:47,Children's Grand Park,여유,Low,0,6,Thursday,3,0,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-26 08:04:41,Children's Grand Park,여유,Low,0,8,Thursday,3,0,1,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-26 09:05:44,Children's Grand Park,여유,Low,0,9,Thursday,3,0,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-26 10:59:31,Children's Grand Park,여유,Low,0,10,Thursday,3,0,0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
2026-03-26 14:54:27,Children's Grand Park,보통,Medium,1,14,Thursday,3,0,1,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-26 18:46:30,Children's Grand Park,여유,Low,0,18,Thursday,3,0,1,1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,Low,0.0
2026-03-26 21:06:29,Children's Grand Park,여유,Low,0,21,Thursday,3,0,0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896258,Low,0.0
2026-03-27 01:21:56,Children's Grand Park,여유,Low,0,1,Friday,3,0,0,0.0,0.0,1.0,0.3333333333333333,0.5773502691896258,Low,0.0
2026-03-27 04:46:55,Children's Grand Park,여유,Low,0,4,Friday,3,0,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-27 06:05:57,Children's Grand Park,여유,Low,0,6,Friday,3,0,0,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-27 08:01:41,Children's Grand Park,여유,Low,0,8,Friday,3,0,1,0.0,0.0,0.0,0.0,0.0,Low,0.0
2026-03-27 09:03:47,Children's Grand Park,여유,Low,0,9,Friday,3,0,0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
2026-03-27 14:54:33,Children's Grand Park,보통,Medium,1,14,Friday,3,0,1,0.0,0.0,0.0,0.0,0.0,Medium,1.0
2026-03-27 17:10:50,Children's Grand Park,보통,Medium,1,17,Friday,3,0,1,1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,Low,0.0
2026-03-27 20:10:37,Children's Grand Park,여유,Low,0,20,Friday,3,0,0,1.0,1.0,0.0,0.6666666666666666,0.5773502691896258,Low,0.0
